id,shortname,mktcap,lastvalue,change,percentchange,direction,stk_details,volume,url
AE01,Adani Enterpris,"21,908.22",199.20,-1.20,-0.60,-1,[],167.65k,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
MPS,Adani Ports,"79,106.25",389.35,-0.40,-0.10,-1,[],10.16k,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS
AP26,Adani Power,"27,577.11",71.50,1.55,2.22,1,[],474.70k,http://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/adanipower/AP11
AT18,Adani Trans,"31,119.13",282.95,-1.05,-0.37,-1,[],6.08k,http://www.moneycontrol.com/india/stockpricequote/power-transmission-equipment/adanitransmission/AT22
PFR,Aditya Birla F,"16,014.08",207.00,-2.85,-1.36,-1,[],3.30k,http://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
ADG01,AGL,"16,189.20",147.20,0.40,0.27,1,[],8.96k,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adanigaslimited/ADG01
AIE01,AIA Engineering,"16,569.73","1,756.75",49.60,2.91,1,[],3.66k,http://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01
AP22,Ajanta Pharma,"8,750.56","1,002.80",0.40,0.04,1,[],12.96k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
AL16,Alkem Lab,"24,424.14","2,042.75",-3.05,-0.15,-1,[],167,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
ARB,Amara Raja Batt,"11,223.24",657.05,-0.15,-0.02,-1,[],2.93k,http://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/amararajabatteries/ARB
GAC,Ambuja Cements,"39,851.90",200.70,-0.90,-0.45,-1,[],19.17k,http://www.moneycontrol.com/india/stockpricequote/cement-major/ambujacements/AC18
AHE,Apollo Hospital,"19,714.04","1,417.00",1.95,0.14,1,[],9.67k,http://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/apollohospitalsenterprises/AHE
AT,Apollo Tyres,"9,902.19",173.10,-7.15,-3.97,-1,[],109.14k,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
AL,Ashok Leyland,"21,957.74",74.80,-0.10,-0.13,-1,[],290.38k,http://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL
API,Asian Paints,"173,298.26","1,806.70",12.10,0.67,1,[],13.59k,http://www.moneycontrol.com/india/stockpricequote/paints-varnishes/asianpaints/AP31
APT02,Astral Poly Tec,"16,102.02","1,068.75",8.90,0.84,1,[],1.02k,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02
ASF03,AU Small Financ,"19,626.17",668.75,-5.35,-0.79,-1,[],1.39k,http://www.moneycontrol.com/india/stockpricequote/finance-general/ausmallfinancebank/ASF02
AP,Aurobindo Pharm,"26,414.11",450.80,-22.70,-4.79,-1,[],313.02k,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
AS28,Avenue Supermar,"123,943.18","1,986.00",9.70,0.49,1,[],9.83k,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
UTI10,Axis Bank,"205,729.49",729.75,-7.85,-1.06,-1,[],70.07k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16
BA06,Bajaj Auto,"93,668.10","3,237.00",-9.35,-0.29,-1,[],3.22k,http://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/bajajauto/BA10
BAF,Bajaj Finance,"243,213.43","4,194.10",-35.70,-0.84,-1,[],35.61k,http://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/bajajfinance/BAF
BF04,Bajaj Finserv,"139,117.82","8,742.00",-101.55,-1.15,-1,[],3.22k,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajfinserv/BF04
BA,Bajaj Holdings,"41,590.94","3,737.05",4.00,0.11,1,[],150,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI
BI03,Balkrishna Ind,"16,818.60",870.00,13.10,1.53,1,[],8.70k,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
BB09,Bandhan Bank,"68,598.29",574.95,-11.90,-2.03,-1,[],18.16k,http://www.moneycontrol.com/india/stockpricequote/banks-private-sector/bandhanbank/BB09
BOB,Bank of Baroda,"38,428.81",99.90,-1.95,-1.91,-1,[],614.19k,http://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB
